document_id,keyword1,score1,keyword2,score2,keyword3,score3,keyword4,score4,keyword5,score5,keyword6,score6,keyword7,score7,keyword8,score8,keyword9,score9,keyword10,score10
CTX192300239,*****edefetwt -ttní,4.0,poznámkou pošt,4.0,svojšicích č,4.0,' zapodno,4.0,s- ■,4.0,en ti,4.0,au j,4.0,rohu1d,1.0,1q13,1.0,soti 3210,1.0
CTX192300603,školství y,4.0,dalšímu řízení,4.0,gemské četfiíck,4.0,í -oznámení,4.0,páni jam,4.0,pokratic odneseny,4.0,předhistorické doby,4.0,prádávnýchpopelnic nalezeny,4.0,vrchní strážmistr,4.0,prase iv,4.0
CTX192400238,pozdější spis,4.0,cl ewutc,4.0,praze,1.0,243 datum,1.0,-----,1.0,,,,,,,,,,
CTX192400245,| |,4.0,ý ústav,4.0,dřívější apis,4.0,zároveň sovyřizují,4.0,zíznemnu hy,4.0,nálezu dozvědělí,4.0,včera odpoledne,4.0,pozvaný p,4.0,přednostou stanice,4.0,hrob-- cích,4.0
CTX192600020,popis spisu,4.0,/ l,4.0,kačí kov,4.0,doposud deponovány,4.0,pcdepsaného lesnine—relitelstvi,4.0,strahov -klášter,4.0,/ došlo,3.5,došlo,1.5,praze,1.0,nahlédnuti,1.0
CTX192600057,vyrizuji čis,4.0,62 l,1.0,zároveň,1.0,došlo,1.0,,,,,,,,,,,,
CTX192600278,pozdější spis,4.0,vyřizují čís,4.0,srovnáno vypraveno,4.0,budiž skartováno,4.0,e vykáni,4.0,českého brodu,4.0,264/26 vypravil,4.0,vykán leží,4.0,vrchol zvýšeniny,4.0,jo ay,4.0
CTX192600311,2sa e,4.0,■ cesk,4.0,československá republik,4.0,orického musea,4.0,pozemku poblí-,4.0,pozemku* čk,4.0,choromyslné —,4.0,těchto dnech,4.0,obci •lnech,4.0,jejichž rozruch,4.0
CTX192600642,praze č,4.0,dřívější spisy,4.0,vyřizují čís,4.0,viiney neo,4.0,/ ydo,4.0,yrl4 /,4.0,‘ wjwo,4.0,e4ea onehokh,4.0,popis spisu,4.0,rok 192,1.0
CTX192600651,praze c,4.0,dřivější spisy,4.0,vyřizuji čís,4.0,crv jíjteí,4.0,popis spisu,4.0,budiž skartováno,4.0,jo 51,1.0,předmět,1.0,stb,1.0,notwu,1.0
CTX192600663,došlo dne,4.0,haidaer zeitung,4.0,den 5*6,4.0,y-- xdnccsodlt,4.0,+ •,4.0,wolfersdorf,1.0,kre,1.0,bohm,1.0,leipa,1.0,1926 c,1.0
CTX192600911,kralupech n,4.0,památkovému uřadu,4.0,řeku vltavu,4.0,kralu kralun,4.0,zbytky kostí,4.0,vlt,1.0,čís,1.0,2105 věc,1.0,dne 4,1.0,srpna 1926,1.0
CTX192601020,pokra pokraprací,4.0,komenského třídě,4.0,největší části,4.0,historickému museu,4.0,místě fotografovány,4.0,proa zaměřeno,4.0,vedle pohřbů,4.0,zbytky popele,4.0,dřevěného uhlí,4.0,obě souvisely,4.0
CTX192601143,xo ajhog,4.0,dez rankmds,4.0,g fou,4.0,onuou wwan,4.0,cllouad malawinl,4.0,/u 0a2n,4.0,x/wu cowokuu,4.0,4l uoxa,4.0,lelisly akuemlioóy,4.0,jioe 60di,4.0
CTX192601171,- r,4.0,statníarchaeologicky ústav,4.0,dřívější spisy,4.0,předmět- jestuce,4.0,hädfisvucku mater,4.0,popis spisu,4.0,budiž skartováno,4.0,jatcem stal,4.0,prehistorický nález,4.0,• vyslali,4.0
CTX192601278,pozdější spis,4.0,vyřizují čís,4.0,jfextolofw maew,4.0,ulití *oskty,4.0,'^l h,4.0,popis spisu,4.0,budiž skartováno,4.0,/h /3,4.0,odděleni ii,4.0,ppaz e,4.0
CTX192700037,rbgj předmět,4.0,1386/26 dojel,4.0,fy ing,4.0,sixtou jar,4.0,naleziště rozkládá,4.0,vrčí má,4.0,jižně silnice,4.0,tmavou hlínou,4.0,podobných jam,4.0,jest vidět,4.0
CTX192700298,došlo dne//,4.0,čtyřhran- rem,4.0,vodou vystouplou,4.0,labe vyplaveno,4.0,doroutom vio,4.0,doby kamenné,4.0,břehu labském,4.0,jeleního parohu,4.0,du- linou,4.0,jedné straně,4.0
CTX192700334,| zprava,4.0,piavět prodloužná,4.0,pravém boku,4.0,polo polomandibuly,4.0,/ kostry,4.0,dělníky odkopnuta,4.0,ú stály,4.0,vykopu,1.0,dubna 1927,1.0,ulice‘,1.0
CTX192700414,j edn,4.0,praž e,4.0,zhotovena mohyla,4.0,václav čtrnácty,4.0,terý udal,4.0,popelem p,4.0,čtrnáctý odvezl,4.0,sdělení zašila,4.0,předenic čp,3.5,plzně p,3.5
CTX192700435,ledna t,4.0,odpoledne jos,4.0,stanislav hejna,4.0,žáci iii,4.0,zvané „skrejvky,4.0,spoře objevuje,4.0,nalezena malá,4.0,pose mlatům,4.0,tako takokamene,4.0,upevnění má,4.0
CTX192700494,das une,4.0,des moores,4.0,franzensbader kultur,4.0,■ t,4.0,nach älteren,4.0,noch bedeutsame,4.0,und bleibe,4.0,loket,1.0,am 10,1.0,* 1,1.0
CTX192700593,vyřizují čís,4.0,w- bolasťavi,4.0,popis spisu,4.0,budiž skartováno,4.0,2% vypraveno,4.0,státní tiskárna,4.0,kor jrnsku,4.0,uotg/ ^coíaaa,4.0,nu vuasl,4.0,uam4 •44,4.0
CTX192700667,669/24 12001-0,4.0,pokaždého návštěvníka,4.0,královske hosty,4.0,správa hradu,4.0,památkovým úřadem,4.0,sl sedla,4.0,zeď pochází,4.0,dob švamberků,4.0,zdivu našla,4.0,zvláště zajímavý,4.0
CTX192800184,getatten siemir,4.0,der fruhzug,4.0,nimmt man,4.0,loket,1.0,20 ‘,1.0,8 h,1.0,teplice,1.0,bezw,1.0,knochen,1.0,,
CTX192800214,nálezová zpráva,4.0,ohlášení komisařství,4.0,huwstna jící,4.0,domem č,4.0,několik stropů,4.0,kostra ležola,4.0,poloskrčené poloze,4.0,levém boku,4.0,nohy západ,4.0,hlava východ,4.0
CTX192800418,pozdější spis,4.0,vyřizují čís,4.0,d šelkel,4.0,ell žuubbá,4.0,/ /oubuu,4.0,došlo,1.0,zasílá 192,1.0,předmět,1.0,zároveň,1.0,nahlédnutí,1.0
CTX192800571,pozdější spis,4.0,předmět jtaho,4.0,mřutb 'k'nameť,4.0,fcuu'hř íťib-u,4.0,vmimt xudo,4.0,praha iv,4.0,odpovědi budiž,4.0,dům čp,4.0,nález st,4.0,dne přílohy,4.0
CTX192801263,hldla /,4.0,w '^ouwi,4.0,keyhu,1.0,oub,1.0,'^jaduôvaaou,1.0,1 okhic2,1.0,,,,,,,,
CTX192801791,datum 18/,4.0,došlo /,4.0,zasílá erokto,4.0,dřívější spisy,4.0,pozdější spis,4.0,vyřizují čís,4.0,ayty nakeu,4.0,uluu 0-j,4.0,mlkv’eh mellue,4.0,rok 192,1.0
CTX192801826,příloze dovolujeme,4.0,výplatě subvence,4.0,poměstské museum,4.0,mohylovém pohřebišti,4.0,kterým především,4.0,žádáme zdvořile,4.0,nosti práci,4.0,městský archivář,4.0,starosta města,4.0,o0icky ústav,4.0
CTX192801869,dřívější spisy,4.0,pozdější spis,4.0,vyřizují čís,4.0,h oú,4.0,' žrvui,4.0,domihoa htuuoi/rony,4.0,budiž skartováno,4.0,hozt/^ w,4.0,ie ndt,4.0,praze,1.0
CTX192900087,q č,4.0,dřívější spisy,4.0,pozdější spis,4.0,předmět- ^iclcllc,4.0,fvtu/uaw p,4.0,f —+7000707,4.0,w kuspeleu,4.0,f umíwici,4.0,wul vwcluv,4.0,p <,4.0
CTX192900113,wwlčli l,4.0,jnen /ubopw/ia,4.0,5/ p26dn,4.0,‘ •,4.0,ionwdevts ev,4.0,archaeolooickýúsi /,4.0,ec 2epu,4.0,/ovr/ow 'iliz/jf,4.0,ác^ osce/eojguronf,4.0,nddwo,1.0
CTX192900132,a- poplnno,4.0,< l,4.0,27-gun /re7,4.0,/wvw^iaáa,1.0,dnej,1.0,noo,1.0,/lwop,1.0,,,,,,
CTX192900502,/ předmět,4.0,popis spisu,4.0,budiž skartováno,4.0,praze,1.0,došlo,1.0,spisovny,1.0,značka,1.0,19 výpravna,1.0,napsáno,1.0,srovnáno,1.0
CTX192900554,počet příloh,4.0,jedné řadě,4.0,sebe vzdáleny,4.0,jáma č,4.0,jáma ii,4.0,prst černá,4.0,černá prst,4.0,jáma iv,4.0,kruhoví tá,4.0,obsahova obsahovalaténské,4.0
CTX192900633,ľine von,4.0,stat elbogen,4.0,mai d,3.5,mai 1929,1.5,bei,1.0,einefundbeobachtung,1.0,zum 19,1.0,ats,1.0,am 18,1.0,33 3/,1.0
CTX192900750,dřívější spisy,4.0,pozdější spis,4.0,vyřizují čís,4.0,popis spisu,4.0,budiž skartováno,4.0,došlo z3sílá,3.5,došlo,1.5,praze,1.0,zároveň,1.0,nahlédnutí,1.0
CTX192900810,f 102/29,4.0,ledna t,4.0,f 31/29,4.0,učiněno opatření,4.0,prohradiska stradonického,4.0,/ kč,3.5,000 /,1.5,čís,1.0,praze,1.0,dne 19,1.0
CTX192900855,užol du’v,4.0,it0jtcdccuf 1m,4.0,epogckove pekoróď,4.0,< inulé,4.0,eolooicky usta',4.0,/ cybc,4.0,/of60e,1.0,bi*vu,1.0,rci,1.0,aopodkéeveyľ,1.0
CTX192900890,890/27 eger,4.0,reichenberger zeitung,4.0,wird gentel,4.0,wozu auc,4.0,ch thty<,4.0,jo22,1.0,itrae,1.0,titi,1.0,knochengeriiste,1.0,nfte,1.0
CTX192900952,‘ zasílá,4.0,pozdější spis,4.0,vyřizují čís,4.0,zároveň,1.0,01 předmět,1.0,tódeny,1.0,qjnotvaznfyc1,1.0,zkeu,1.0,puštiri,1.0,makoozr™ety,1.0
CTX192901164,kl adno,4.0,der platz,4.0,buschtiehrad,1.0,1164/29 17,1.0,uebersetzung,1.0,inst,1.0,školou,1.0,berichten,1.0,prag,1.0,gez,1.0
CTX192901358,ich erlaube,4.0,die gestem,4.0,parkst rasse,4.0,da ich,4.0,elbogen,1.0,am 15,1.0,a9g9,1.0,/353d08100n//,1.0,,,,
CTX192901424,iv wit*,4.0,egerer zeitung,4.0,bei birmit,4.0,-rat dr,4.0,franzensbad,1.0,eger,1.0,august,1.0,nahrung,1.0,gefunden,1.0,alhimiaal,1.0
CTX192901485,- slovo,4.0,starosta hradě,4.0,způsobila netavnosensact,4.0,lo proniknuto,4.0,jejího ústí,4.0,velmi nízká,4.0,nutno d,4.0,všech čtyřech,4.0,nejbližší léto,4.0,kdy voda,4.0
CTX192901508,dřívější spisy,4.0,vyřizují čís,4.0,v- p,4.0,malh olu,4.0,budiž skartováno,4.0,musevm hla,4.0,města prahy,4.0,praha ii,4.0,/0/29 p,4.0,praha iv,4.0
CTX192901511,občanská beseda,4.0,7hes u0/q,4.0,< aei,4.0,okresní úřad,4.0,pokyn případně,4.0,přímé opatření,4.0,okresní hejtman,4.0,třebenicich,1.0,dje,1.0,j6a,1.0
CTX192901706,vyřizují čís,4.0,^ohnäitiu au,4.0,nijuvo yn^juu,4.0,popis spisu,4.0,budiž skartováno,4.0,státní tiskárna,4.0,— 3824*29,4.0,prcdmne,1.0,fho,1.0,čzek,1.0
CTX192902019,j ed,4.0,2079/27 odäělení,4.0,ilález popelnic,4.0,památkovému úřadu,4.0,dnech 13-20,4.0,basic op,4.0,různé velikosti,4.0,tvaru hruškového,4.0,pálené hlíny,4.0,jeenak sáhá,4.0
CTX193000104,bericht ce,4.0,dlcakten p,4.0,- bukeneť,4.0,xix,1.0,10+/30,1.0,,,,,,,,,,
CTX193000226,vyřizuji čís,4.0,budiž skartováno,4.0,státní tiskárna,4.0,mestské museum,4.0,musejní komise,4.0,několika let,4.0,bronzovými předměty,4.0,takovýmzpůsobem zničeno,4.0,očekávaj e,4.0,jaroměřském museu,4.0
CTX193000269,/rezo,1.0,,,,,,,,,,,,,,,,,,
CTX193000313,bě lovs,4.0,kopání pařezů,4.0,bělovse cp,4.0,stři orné,4.0,úplně zachovalé,4.0,strmé stráni,4.0,vyhrabování pokladu,4.0,úplně zetlelý,4.0,bělovsi rozdal,4.0,dozvěděvším šstrážm,4.0
CTX193000444,odpovědi budiž,4.0,číslo uvedeno,4.0,ing •,4.0,ctěný dopis,4.0,března t,4.0,mnoho poděkovat,4.0,vaši laskavost,4.0,ústředí,1.0,/5265730,1.0,věc,1.0
CTX193000527,oddělení ii,4.0,01ivov- na‘‘,4.0,nárůzných tvarů,4.0,uvedených drenážích,4.0,téhož dne,4.0,jaroslavu pouzarovi,4.0,pozůstávající většinou,4.0,odvezl simek,4.0,národního musea,4.0,stejné oznámení,4.0
CTX193000640,popis spisu,4.0,budiž skartováno,4.0,státní tiskárna,4.0,— 3824*29,4.0,rok 1936,1.0,došlo,1.0,spisovny,1.0,značka,1.0,19 výpravna,1.0,napsáno,1.0
CTX193000729,nalefené prý,4.0,okrajem přehnutým,4.0,pásem vlnovek,4.0,vylámaným dnem,4.0,okraj rovný,4.0,plastickým žebrem,4.0,ornament stejný,4.0,hloubě tína,4.0,nalezené prý,4.0,nadištní nádoby,4.0
CTX193000993,leboer,1.0,tttv,1.0,snímte,1.0,čsl,1.0,stá,1.0,,,,,,,,,,
CTX193001345,wl3o /,4.0,wrmi 0-g,4.0,,,,,,,,,,,,,,,,
CTX193001766,whinulém roce,4.0,kopání písku,4.0,majitel ponechal,4.0,opis,1.0,louny,1.0,praze,1.0,poli,1.0,kostry,1.0,domku,1.0,1 lebku,1.0
CTX193001775,l<r> oa/oilua,4.0,,,,,,,,,,,,,,,,,,
CTX193002079,**>/,1.0,,,,,,,,,,,,,,,,,,
CTX193002103,slaném,1.0,uložen,1.0,,,,,,,,,,,,,,,,
CTX193002110,př esně,4.0,hlíně vykroužané,4.0,jeden střípek,4.0,mimo,1.0,2 střepy,1.0,,,,,,,,,,
CTX193002155,4155/30,1.0,,,,,,,,,,,,,,,,,,
CTX193100007,437 -,1.0,,,,,,,,,,,,,,,,,,
CTX193100156,456/37 krischwitz,4.0,kreis tetachen,4.0,f aroniarologioký,4.0,počet přiloh,4.0,bet stauda,4.0,unb ber,4.0,barunter eines,4.0,467—472 n,4.0,seitlichen „vlkerbunde,4.0,heimatbildung,1.0
CTX193100246,originály poznámek,4.0,následujícím nález,4.0,zápisníku č,4.0,pozůstalosti akad,4.0,volkého významu,4.0,uasluhují publikace,4.0,vykopány byly,4.0,sousedním čp,4.0,šikmo seříznutý,4.0,spodní obráceně,4.0
CTX193100274,okr,1.0,shribro,1.0,brnnelwiesenta,1.0,,,,,,,,,,,,,,
CTX193100379,10cltt /00,4.0,zápisníku č,4.0,poznámky,1.0,nalezeném,1.0,poakad,1.0,bhma,1.0,,,,,,,,
CTX193100496,praha-venkov /,4.0,příležitosti komise,4.0,nálezech,1.0,sousedství,1.0,zjištěno,1.0,rozkládá,1.0,něko-,1.0,,,,,,
CTX193100508,nález hrobu,4.0,oddělení čes,4.0,prípisu čís,3.5,čís,1.5,praze,1.0,jedn,1.0,358/31,1.0,budějovice,1.0,března 1931,1.0,iii,1.0
CTX193100511,originály poznámek,4.0,zápisníku č,4.0,pozůstalosti akad,4.0,rychnov n,4.0,sbírka j,4.0,místní škole,4.0,podobná netuhovaná,4.0,jiná tuhovaná,4.0,rytím zdobená,4.0,men menkrajáč,4.0
CTX193100575,pohřeb jezdce,4.0,germánském pohřebišti,4.0,límanově cihelně,4.0,čelákovic patří,4.0,nejvýznačnějším nálezům,4.0,kdy byly,4.0,hrob —,4.0,pořadí třináctý,4.0,objevení nápadný,4.0,hloub hloubhrobu,4.0
CTX193100582,/enud vuroacbcckovwuy,4.0,7—* čonow,4.0,,,,,,,,,,,,,,,,
CTX193100984,de denalezu,4.0,brandýsa n,4.0,devětsetdevadesátpet kusu,4.0,hluchov,1.0,labem,1.0,praze,1.0,května 1931,1.0,,,,,,
CTX193101070,%o citz,4.0,elbogener zeitung,4.0,don dr,4.0,das obere,4.0,jm gegenteil,4.0,einen jngeren,4.0,bie bas,4.0,mhls grůn,4.0,lag wiederum,4.0,eger,1.0
CTX193101119,národní osvěty,4.0,praze iii,4.0,ministerstvo školství,4.0,národní 08v,4.0,státní obv,4.0,šumavě upozornil,4.0,potřebuje pomoci,4.0,023/31,1.0,května 1931,1.0,vědomí,1.0
CTX193101180,počet príloh,4.0,meuefa’ pobeduee,4.0,/- n,4.0,y g,4.0,within lt,4.0,wh f,4.0,čsl,1.0,8evong,1.0,hjdlrrrn 0,1.0,saturday,1.0
CTX193101384,století pískovně,4.0,těchto nálezech,4.0,dovědělo teprve,4.0,bohužel konstatováno,4.0,slovanském pohřebišti,4.0,asistentem dr,4.0,většinou dětských,4.0,pohřbena žena,4.0,pravé ruce,4.0,zbytky rakví,4.0
CTX193101529,jllev /řtohcb,4.0,,,,,,,,,,,,,,,,,,
CTX193101588,odpovědí budiž,4.0,dne přílohy,4.0,dalšímu opatření,4.0,miu náttlu,4.0,diód fudeó,4.0,praze iii,3.5,praze,1.5,cechy,1.0,cis,1.0,2731/31,1.0
CTX193101620,praže,1.0,oneu,1.0,datum,1.0,19 37,0.0,,,,,,,,,,,,
CTX193101644,zachovalé kostry,4.0,ďá- ich,4.0,ilních chabrech,4.0,eja celá,4.0,ďáblická vykopávej,4.0,’ @,4.0,čsl,1.0,193/,1.0,čimicemi,1.0,bohlicomi,1.0
CTX193101768,f y,4.0,čsl,1.0,,,,,,,,,,,,,,,,
CTX193102225,čsl,1.0,,,,,,,,,,,,,,,,,,
CTX193102297,jaud m,4.0,ľtjtd ielsl,4.0,8soxdoklodao h,4.0,doby tenské,4.0,spodně vrst,4.0,stejné doby,4.0,zdobenou žlábky,4.0,vrhá světlo,4.0,štvi zbytků,4.0,jed jednálezů,4.0
CTX193102322,xpraze n,4.0,schreckenstein,1.0,kre 1,1.0,aussig,1.0,- 19,1.0,-ostrau,1.0,den 29,1.0,streková,1.0,nihfciia,1.0,bohaté,1.0
CTX193102430,241/31 /,4.0,nezdobených střepů,4.0,zvířecích kostí,4.0,pocházejících patrně,4.0,sídelní vrstvy,4.0,rozrušené orbou,4.0,místo és,4.0,nebot leší,4.0,nevelké vzdálenosti,4.0,terasovitě svažuje,4.0
CTX193102643,morgen,1.0,,,,,,,,,,,,,,,,,,
CTX193102765,brandýs n,4.0,khcm boh,4.0,pisečné nánosy,4.0,rozhraní hrdla,4.0,celkem jest,4.0,okres,1.0,parcela,1.0,majitel,1.0,ing,1.0,půda,1.0
CTX193102910,ujeums-gesellschnft ceplit,4.0,den -3,4.0,2810/31 věc,4.0,november l,4.0,vorzglicher hochachtung,4.0,c h,4.0,t berdieskelettsräber-fundeinhundorfbezirk,4.0,hundorf verständigt,4.0,sehen sind,4.0,november d,4.0
CTX193103000,stanice hoštka,4.0,litoměřic č,4.0,- lilásím,4.0,dne l5,4.0,vy- kopevce,4.0,jedna starú,4.0,jalezenu nádoba,4.0,metry hluboko,4.0,í m,4.0,parcele čís,3.5
CTX193103021,odpovědi budiž,4.0,/ xi1,4.0,praze iii,3.5,praze,1.5,cechy,1.0,cís,1.0,4773/31,1.0,popelnice,1.0,nález,1.0,věc,1.0
CTX193200049,ctiacolggicky l,4.0,/0fep- *^ťťzucaz,4.0,sbírce p,4.0,unhoště nachází,4.0,ledn al932,4.0,4 dozt,1.0,daa 97,1.0,kyši,1.0,volfa,1.0,praze,1.0
CTX193200050,' j,4.0,počet c,4.0,sbírce p,4.0,unhoště nachází,4.0,cetet,1.0,4//,1.0,loh,1.0,nálezy,1.0,tatína,1.0,volfa,1.0
CTX193200062,prety -5blic,4.0,sbírce p,4.0,unhoště nachází,4.0,střepy vyprchané,4.0,68 pit,1.0,tolia-,1.0,volfa,1.0,ďáblic,1.0,axamita,1.0,praze,1.0
CTX193200068,tišíc /okr,4.0,sbírce p,4.0,u-ídcrm' bericl,4.0,lci c,4.0,nálezy,1.0,brandýs,1.0,volfa,1.0,unhoště,1.0,tišic,1.0,praze,1.0
CTX193200211,stromech nebylo,4.0,hou houaž,4.0,podvojné prostore,4.0,někdo rádil,4.0,povrchu válely,4.0,byly tam,4.0,pazour pazournožíky,4.0,sobi kost,4.0,vrstvy zpřehá-,4.0,no- zíků,4.0
CTX193200266,pouažlódk ucóri,4.0,30 uccscu,1.0,,,,,,,,,,,,,,,,
CTX193200316,dopisu říd,4.0,3/62,1.0,sušice,1.0,~4p,1.0,vcej,1.0,vypsáno,1.0,dubského,1.0,řepice,1.0,154/32,1.0,praze,1.0
CTX193200460,telefony čís,4.0,úřadu šek,4.0,praze iii,4.0,postunám přípisem,4.0,svoji pohledávku,4.0,pořádek oznamujeme,4.0,laskavě potvrdili,4.0,zároveň píše,4.0,patřičnými úroky,4.0,složní list,4.0
CTX193200503,503/32 vsetička,4.0,telefony čts,4.0,úpadu šek,4.0,—34149 w,4.0,/ st,4.0,praha iii,4.0,vlašská ul,4.0,sta ví,4.0,telefonickou rozmluvu,4.0,panem arch,4.0
CTX193200509,oznámila sem,4.0,níž prý,4.0,příležitostné cestě,4.0,jeskyně ohledána,4.0,praze,1.0,dne 25,1.0,únore 1932,1.0,vědomí,1.0,7 praze,1.0,dne 4,1.0
CTX193200510,základě telefonické,4.0,šetnické stanice,4.0,zjistil následující,4.0,stavbě domin*,4.0,odhadu obecní',4.0,ušadu odkryto,4.0,2o hrobů,4.0,jediné milodary,4.0,kraje nádob,4.0,konce xi,4.0
CTX193200583,počet pfloh,4.0,/ /l-occ,4.0,• otulue,4.0,67/3/ /5‘2,4.0,/utulovtltwb fl,4.0,193/,1.0,ayarleg/eku,1.0,goda-bat,1.0,c^t/,1.0,2 maki,1.0
CTX193200664,rudolfs sajdla,4.0,pozdně lužickékulturní,4.0,přírůsti ová,4.0,viz zd,4.0,bližší udaje,4.0,stejné doby,4.0,pomalu ztráceli,4.0,■ ',4.0,prostoře jižně,4.0,dobývání písku,4.0
CTX193200680,' cticolcg,4.0,oky ústav,4.0,fakory/ okr,4.0,mecá boleslav,4.0,masivní patkou,4.0,bohatě zdobený,4.0,zcela zaniká,4.0,5/ náramek,4.0,6/ malý,4.0,tenký nákrěník,4.0
CTX193200693,leonhar frans,4.0,bas er,4.0,aber dkutter,4.0,beigemengt sind,4.0,crfahrung lehrt,4.0,ghre holzrefte,4.0,ír bobrí,4.0,herr stellwag,4.0,©er ackerkompleg,4.0,dreter tíefe,4.0
CTX193200770,'z s7at,4.0,achiaeolochcet ostav,4.0,pravěku byly,4.0,nás třešně,4.0,historické vykopávky,4.0,vy- kopávkách,4.0,odkopán hrob,4.0,jehož obsah,4.0,hrob pochází,4.0,doby streková,4.0
CTX193200787,brandys n,4.0,sestevilo museum,4.0,brandýse n,4.0,průměr okraje,4.0,kár,1.0,širokým,1.0,325 mm,1.0,výška 160,1.0,,,,
CTX193200802,d r,4.0,r á,4.0,/a tmrfm',4.0,kopidně,1.0,odusd,1.0,ouškem,1.0,nádobka,1.0,tičíně,1.0,praze,1.0,dne 9,1.0
CTX193200940,„rodný kraj,4.0,jan filip,4.0,petr filip,4.0,otcem ornici,4.0,svém poli,4.0,pohřbu prvého,4.0,bohužel nádoba,4.0,okraji rozrušena,4.0,vnitřním obsahem,4.0,vě vězpracování,4.0
CTX193200953,vyšehradská tř,4.0,telefony čis,4.0,p r,4.0,b r,4.0,jelikož víme,4.0,čisticí stanice,4.0,emka rabicové,4.0,sádrovicové příčky,4.0,umělé fasád,4.0,kterýžto obnos,3.5
CTX193201095,- uopci,4.0,obems obeeni,4.0,olutov sídliště,4.0,něhož mt,4.0,seu jičíně,4.0,ac—,1.0,pupky,1.0,7 tr,1.0,e 18,1.0,květn 1932,1.0
CTX193201101,m seu,4.0,/ičír/,1.0,/p32,1.0,877,0.0,1932,0.0,,,,,,,,,,
CTX193201112,museu,1.0,jičíne,1.0,tyšovatkách,1.0,nimi,1.0,dodán,1.0,praze,1.0,května 1932,1.0,1932,0.0,,,,
CTX193201192,pracích objeveny,4.0,h r,4.0,b y,4.0,praveké sídliště,4.0,sajdlova písečníku,4.0,nejbližší době,4.0,_ 1,1.0,řepové,1.0,řepová,1.0,kolomut,1.0
CTX193201726,ciiaeolggicky ústav,4.0,moravokó ostravě,4.0,čsl,1.0,statit,1.0,borgmennor,1.0,prolosorem,1.0,intherg,1.0,3/iv,1.0,,,,
CTX193201735,zasláno dr,4.0,rof osorcm,4.0,moravské ostravě,4.0,ltl erg,4.0,* /,4.0,/735d0,1.0,-■ 2341,1.0,bergmannem,1.0,3/1,1.0,dubna 1931,1.0
CTX193201748,maintained jo1ntly,4.0,university museum,4.0,harvard university,4.0,field director,4.0,robert w,4.0,maintatned jointly,4.0,vladimír j,4.0,výběr materiálu,4.0,výbr materiálu,4.0,chata b,4.0
CTX193201751,slaný vrany,4.0,sbírce p,4.0,frant /obr,4.0,pruzíck tuhovaný,4.0,ostrým lomem,4.0,průměr hrdla,4.0,sdělení p,4.0,skrčenou kostrou,4.0,kamenné nástroje,4.0,stroh zvaným,4.0
CTX193201794,germánské pohrěbiště,4.0,podařilo prokopati,4.0,téže doby,4.0,hluboko —,4.0,země zapuštěných,4.0,dně hrobů,4.0,odpočívali nebožtíci,4.0,chudá žena,4.0,prosté nástroje,4.0,železný nůž,4.0
