keyword,score
valně nelišila,4.00
že- livky,4.00
četná letoviska,4.00
různé památnosti,4.00
hum humskorkov,4.00
zemské hranici,4.00
vzat zřetel,4.00
pravděpodobný vzrůst,4.00
vedené jižně,4.00
věž- nice,4.00
jižně kochanova,4.00
dolním raclavicím,4.00
novým sadům,4.00
dalším průběhů,4.00
traf ili,4.00
jižně vizovic,4.00
ohle ohlena,4.00
ně něobce,4.00
traf ii,4.00
ředi řediupustilo,4.00
uvažovalo trasu,4.00
jižně nižkova,4.00
jižně řečkovic,4.00
jižně ivanovic,4.00
jižně blanska,4.00
jižně hvězdlic,4.00
bran- kovicům,4.00
založeni průmyslu,4.00
srdci republiky,4.00
tvoři spojovací,4.00
jejími západními,4.00
silniční sítě,4.00
nej účelnější,4.00
průmyslový přistav,4.00
nevyhovo nevyhovokomunikačním,4.00
značně obtížnější,4.00
zůstalo zachováno,4.00
ni vyslechl,4.00
jižní trasu,4.00
hlavní důraz,4.00
příliš veliká,4.00
nepostačila šířka,4.00
zúčast zúčastse,4.00
samosprávných svazků,4.00
zmínky zasluhuje,4.00
velkého bočkova,4.00
finanč finančjakož,4.00
hlediska úspornosti,4.00
přípravným pracím,4.00
hum huma,4.00
dovolí počasí,4.00
nezaměstnaní dostali,4.00
gene rálni,4.00
detailní projekty,4.00
moravskoslezský výbor,4.00
podkladě studii,4.00
nebyl úplný,4.00
finančně mnoho,4.00
požadavků hl,4.00
madarsku zůstala,4.00
našem územi,4.00
přirozený důsledek,4.00
konstrukčních prvků,4.00
rozptýlené zpráiy,4.00
soustavně referovali,4.00
sebe navazovali,4.00
oceněn hospodářský,4.00
všech podrobností,4.00
potřebnými částkami,4.00
nejširši veřejnosti,4.00
svou spojku,4.00
vozov vozovbudou,4.00
příčné uspořádáni,4.00
ostrova- čic,4.00
ženijní důstojníky,4.00
prvá skupina,4.00
takové zkušené,4.00
moravské třebové,4.00
urychleně přepracovány,4.00
zvět zvětšířku,4.00
událostmi březnovými,4.00
říšským hranicím,4.00
projektovaných sudetských,4.00
sta statrati,4.00
odklizeni úrody,4.00
vra vraa,4.00
frankfurt n,4.00
má napojit,4.00
veliko veliko1939,4.00
dvou směnách,4.00
ných prací,4.00
tou změnou,4.00
vládou schválen,4.00
ředi ředizměnilo,4.00
národohospodář- skýchorganisací,4.00
uložil jí,4.00
opatřila předpoklady,4.00
horní lideč,4.00
vizovické vrchy,4.00
podrobněji pojednáno,4.00
jejichž činnost,4.00
jakémkoli vztahu,4.00
jejímu využití,4.00
vědeckých ústavů,4.00
svém díle,4.00
vysokých školách,4.00
moravsko-slovenskou hranici,4.00
geologický průzkum,4.00
sázavě uvolil,4.00
čes čestechnice,4.00
profesor geologie,4.00
české technice,4.00
sesuvných terénů,4.00
má miti,4.00
zvláštní pozornost,4.00
pokryvným útvarům,4.00
svážlivým terénům,4.00
místa choulostivá,4.00
zpraco zpracohornin,4.00
dlažební kámen,4.00
svážlivých terénech,4.00
stavebním inženýrem,4.00
geo geoprůzkumem,4.00
dobře vědomo,4.00
zemních staveb,4.00
ústav požádán,4.00
dávat posudky,4.00
polních stanicích,4.00
laboratorních pracích,4.00
vyžaduje potřeba,4.00
zjišťovat složení,4.00
vlastnosti zemin,4.00
podloží náspů,4.00
fysikálni jíl,4.00
objemová váha,4.00
vodonosné vrstvy,4.00
zemních pracích,4.00
jejího okolí,4.00
zkoumají vzorky,4.00
sbírají poznatky,4.00
pohybech půdy,4.00
propustnost zemin,4.00
vnitřní třeni,4.00
vzorky odbirá,4.00
nepo nepostavu,4.00
rozbor trvá,4.00
2—3 týdny,4.00
konstrukci stavebních,4.00
beto betosměsi,4.00
normová zkouška,4.00
chemický rozbor,4.00
měření smršťování,4.00
kamenných součástí,4.00
obje objeváha,4.00
petrografický rozbor,4.00
šlehání pískem,4.00
drtitel- nost,4.00
betonové směsi,4.00
složení směsi,4.00
vodní součinitel,4.00
vliv vlhkosti,4.00
trámců vyříznutých,4.00
různých hloubkách,4.00
le lejara,4.00
vyžádalo rady,4.00
vyvolných ploch,4.00
lesních porostů,4.00
těchto otázkách,4.00
geo geokomitétem,4.00
svazem spolků,4.00
opatřily podklady,4.00
lesními odborníky,4.00
osazo osazobude,4.00
hospodářská střediska,4.00
obecni úřady,4.00
místními zájemci,4.00
národního autoklubu,4.00
his hisarcheologických,4.00
paleonto paleontomineralogických,4.00
národní museum,4.00
zemské museum,4.00
hlášeni nálezů,4.00
příslušných ústavů,4.00
svého uváženi,4.00
stále prohlubována,4.00
dálni dálnipoukázali,4.00
srovnává jedině,4.00
podmínek směrových,4.00
vze- stupnicích,4.00
bezpečně sjízdná,4.00
projekčních prací,4.00
totiž známy,4.00
vypsáni naléhá,4.00
netřeba připomínali,4.00
zkušenostem získaným,4.00
jiných zemích,4.00
proskupina čitá,4.00
dnešního postupu,4.00
přesně znám,4.00
zvlášť obtížné,4.00
ódou smejkalky,4.00
přičné řezy,4.00
pracováno souběžně,4.00
různé šikmosti,4.00
jistý náskok,4.00
zděných opěrách,4.00
jejichž rozměry,4.00
překročení potoka,4.00
sledujících nejhospodárnější,4.00
sklonu přimykali,4.00
větší délky,4.00
srovnávacími kalkulacemi,4.00
zřízení viaduktu,4.00
násyp vysoký,4.00
někdy postačí,4.00
usazených ssutí,4.00
přileh přilehúseku,4.00
zvrstvení skály,4.00
vysokých pilířích,4.00
defi defiřešení,4.00
údoli želivky,4.00
velkou chuchlí,4.00
chuchelským závodištěm,4.00
řešeni viaduktu,4.00
údoli botiče,4.00
soutok berounky,4.00
pří příproposicemi,4.00
jejímž přeloženi,4.00
definitivním ustáleni,4.00
surové hmoty,4.00
těmto číslicím,4.00
celém světě,4.00
jan němeček,4.00
příprav přípravpracemi,4.00
lednu r,4.00
hloubením sond,4.00
odstraňováním pařezů,4.00
těchto dílů,4.00
přípravy konaly,4.00
podrobně pojednává,4.00
roz rozrozepsali,4.00
zadali společně,4.00
světlosti vělši,4.00
zadávají samostatně,4.00
nezapracovanost personálu,4.00
kruhů podnikatelských,4.00
zdárně dokončit,4.00
mostem dorozumění,4.00
lozov- ský,4.00
dělník suchopár,4.00
stavbách zadaných,4.00
deponováni ornice,4.00
vyskytla voda,4.00
neúnosná půda,4.00
snímek lilek,4.00
celkový pohled,4.00
přehledná tabulka,4.00
zadaných pracích,4.00
emil štěrba,4.00
alois ellaš,4.00
odesvůj velký,4.00
pros prostorem,4.00
probaltického moře,4.00
ně něriše,4.00
podnikatelské velkorysosti,4.00
dálnicemi zapojíme,4.00
zápa zápajihem,4.00
severem evropy,4.00
úspěchem vyřešit,4.00
technikové používají,4.00
týče vyřešeni,4.00
pol pollaboratořích,4.00
komunikač komunikačnesnází,4.00
národní cesty,4.00
hospodářský pokrok,4.00
hospodář hospodářpřerodů,4.00
ich stavitelů,4.00
zeměměři čů,4.00
inženýru strojních,4.00
hospodářský vzestup,4.00
přizpůsobené potřebám,4.00
přibýváním obyvatelstva,4.00
nových poměrech,4.00
existence člověka,4.00
hlavni tepnou,4.00
jaromír musil,4.00
lžícové rýpadlo,4.00
nestálosti mezd,4.00
zajistili rychlou,4.00
řádnou orientaci,4.00
službu sanitní,4.00
cestář- štvi,4.00
tratích h,4.00
jihlava— lužná,4.00
podrobně popsáno,4.00
východiska památkových,4.00
turistických misi,4.00
průmyslových podniků,4.00
uvažova uvažovakrajích,4.00
nynějších sítích,4.00
předběžně navrženo,4.00
34—38 přípojek,4.00
projektována přípojka,4.00
spojenou průchodem,4.00
sklad olejů,4.00
zásobu oleje,4.00
dvě kabiny,4.00
jedna veřejná,4.00
pří příjsou,4.00
třech čerpadlech,4.00
odběru pokračuji,4.00
auta vyjíždějící,4.00
auta přijíždějící,4.00
autobusu místního,4.00
zá zá5,4.00
velké velkétypu,4.00
projíždě projížděauta,4.00
cestmistrov- stvi,4.00
organisaci cestmistrovské,4.00
cestmistrovskou službu,4.00
posta postacestmistrovství,4.00
cest- mistr,4.00
motonebo auto,4.00
malá pracovna,4.00
dál- mistrovství,4.00
sušení oděvů,4.00
jedné garáži,4.00
sněžné pluhy,4.00
zametači nářadí,4.00
men menzměnami,4.00
josef hons,4.00
od- počivek,4.00
snaží uvésti,4.00
jed jedkrajů,4.00
oblas oblasdálnice,4.00
veřejných zájmů,4.00
zástupci okresů,4.00
regionalistic- kých,4.00
turistických korporaci,4.00
dány směrnice,4.00
potřebu obyvatel,4.00
veřejný zájem,4.00
motorová vozidla,4.00
nesmi přesáhnout,4.00
dál dáldále,4.00
hum humleží,4.00
auto autodopravu,4.00
správní radě,4.00
dolni královice,4.00
hum hum,4.00
velké bíteše,4.00
okresních silnicích,4.00
dálkové linky,4.00
dál dála,4.00
nalinkami dálnicovými,4.00
vedenými kolmo,4.00
vedené souběžně,4.00
linkami dálnicovými,4.00
dvoj- svátku,4.00
většinu frekvence,4.00
turistickými středisky,4.00
nynějších zákonů,4.00
ať dálkovou,4.00
jakékoliv žádosti,4.00
budoucímu udržováni,4.00
říš říšdálnicich,4.00
hustotou osídleni,4.00
hustota osídleni,4.00
stanicích přestupních,4.00
hustou sítí,4.00
doprav dopravstředisk,4.00
dosilniční řád,4.00
skladiš skladišnářadí,4.00
ob obse,4.00
jednoduchým příchodem,4.00
značně ušetří,4.00
stavebních výdajích,4.00
třetí vozovkou,4.00
zeleném ostrůvků,4.00
vleč vlečvozy,4.00
příchodech zvlášť,4.00
l íni,4.00
sta stamusí,4.00
krátkodobě umístěno,4.00
roz rozzboží,4.00
zčásti zpevněným,4.00
zpevněná krajnice,4.00
rekreačních stredísk,4.00
turistických východísk,4.00
navrhovány obdobně,4.00
přívěsnými vozy,4.00
vyvýšená plocha,4.00
zbývající plochy,4.00
zavazadly cestujících,4.00
ruční vozidla,4.00
obou směrů,4.00
přijezdná cesta,4.00
čisté formě,4.00
rekreačními zařízeními,4.00
zásobováni nekřížilo,4.00
netak nebezpečí,4.00
okrese vlašimském,4.00
okresními úřady,4.00
větším změnám,4.00
ukázala nutnými,4.00
získá získápozemků,4.00
nej nejnejen,4.00
životni osou,4.00
vyrostou osady,4.00
artur ambler,4.00
všech výhodách,4.00
podrobně zkoumáno,4.00
plyno plynopák,4.00
menši spotřebě,4.00
pohodlná stávala,4.00
malá občerstveni,4.00
lesních partiích,4.00
ochraně vozidla,4.00
jisté míry,4.00
pocit bezpečnosti,4.00
mírné rovince,4.00
vystavena větrům,4.00
selháni brzd,4.00
alespoň pohledově,4.00
ľ pramene,4.00
naprosto nutný,4.00
řídký les,4.00
bohatými korunami,4.00
potřebná plocha,4.00
rozhodujícím činitelem,4.00
neumí neumíse,4.00
půdě vyprahlé,4.00
značně vlhké,4.00
stovkám cestujících,4.00
větších rybníků,4.00
dobrý přiklad,4.00
našich tratích,4.00
okol okolhlídaná,4.00
vozidlům nepřístupny,4.00
zřícenin hradů,4.00
příští výstavbu,4.00
stupeň vybaveni,4.00
jaroslav tichý,4.00
stránce udržovací,4.00
pravidelných spoju,4.00
odsun raněných,4.00
poměrně řídké,4.00
udržovací služba,4.00
nadřízené úřady,4.00
přímých návěští,4.00
udržovací službu,4.00
spo sponezbytné,4.00
selektívni návěštění,4.00
nadřízenými úřady,4.00
italských autostrád,4.00
mapočtu vedení,4.00
vlastním personálem,4.00
vykoná vykonázřízenci,4.00
telefonní přístroje,4.00
hlásná služba,4.00
ostatními komunikacemi,4.00
normálních silme,4.00
dopravních nehod,4.00
svou polohou,4.00
zeměmi jižními,4.00
mohli pohybovat,4.00
větší bezpečnost,4.00
časů válečných,4.00
pohra pohrapohoří,4.00
nynější žďár,4.00
stezka haberská,4.00
řece chubě,4.00
stezka linecká,4.00
stezka domažlická,4.00
hrádek chlumec,4.00
deštích dalo,4.00
známý jantar,4.00
ozdobné předměty,4.00
vlast dopravováno,4.00
vzácné látky,4.00
cesty nesloužily,4.00
historický přehled,4.00
evropském obchodě,4.00
abych zdůraznil,4.00
sousedních zemí,4.00
jo joii,4.00
tehdejší dobu,4.00
míru sloužily,4.00
mnohá desítiletí,4.00
zerakouské říše,4.00
jejíž výstavbu,4.00
poli polijednotným,4.00
kulturně vyspělým,4.00
moc státu,4.00
řádných silnicích,4.00
moderní rychlou,4.00
provést zlepšeni,4.00
vyhovovala automobilové,4.00
nachází četnictvo,4.00
stálou službou,4.00
služba má,4.00
trvalá —-,4.00
jiná zařízeni,4.00
sloužících výhradně,4.00
zeleném pásu,4.00
malých budkách,4.00
jejichž distribuci,4.00
vyje možnost,4.00
výhodno vybudovat,4.00
odbočnými kabely,4.00
dálková vedení,4.00
projektovaných sítích,4.00
zapojených paralelně,4.00
selektivním návěštěnim,4.00
zvýšení zaměstnanosti,4.00
povrchem dlážděným,4.00
odpoči- várny,4.00
výborných jakostech,4.00
kamenné součásti,4.00
vytisícivagonová množství,4.00
jakým způsobem,4.00
potřeba vyvíjeti,4.00
mohl očekávati,4.00
vznikla obava,4.00
drátěnou mřížovinu,4.00
přikladu cizího,4.00
příštím období,4.00
delších obdobích,4.00
dodávkových programů,4.00
jakožto celkové,4.00
popodrobně vykalkulované,4.00
určitý dil,4.00
podrobných disposic,4.00
provedeni příkazu,4.00
odvolacích listů,4.00
potvrzeni správnosti,4.00
vyúčtováni dodávek,4.00
stále doplňovaných,4.00
přik dodávce,4.00
připadne závady,4.00
všech zemích,4.00
přináší určitý,4.00
automobilové dráhy,4.00
tře třevyplatili,4.00
odpracovaných směn,4.00
jakém rozsahu,4.00
čisla znamená,4.00
zahájení prací,4.00
mu mupočítali,4.00
'l edy,4.00
zadávání dílů,4.00
zemědělských pracích,4.00
hustě osídlené,4.00
okol okolže,4.00
zjednalo nápravu,4.00
větším počtu,4.00
naopak dospělo,4.00
snaha projevuje,4.00
tabulce uvedené,4.00
mus rozhodnouti,4.00
tří sfér,4.00
stanoviska technického,4.00
zvýšené výlohy,4.00
pracích udržovacích,4.00
jednotném měřítku,4.00
rozdíly způsobují,4.00
poruchy vozovek,4.00
vo vodlážděných,4.00
stro strotak,4.00
60% lepší,4.00
jednotné tloušťce,4.00
několikanásobnou výkonností,4.00
užiti otázkou,4.00
jaké míry,4.00
přerušeni využit,4.00
brzy zastaralým,4.00
méně rentabilním,4.00
zrychleni postupu,4.00
zvý zvývýkonnosti,4.00
novodobé poznatky,4.00
vysokých náspů,4.00
nedutinami způsobovaly,4.00
dlouhodobé ssedání,4.00
nejbližší jámy,4.00
takovým stavivém,4.00
dynamickému namáháni,4.00
napracovním postupem,4.00
jejichž tloušťky,4.00
jinými stroji,4.00
pohybu pohybuse,4.00
plazových pásech,4.00
činnost vykonávající,4.00
planýrovaci pluh,4.00
pohyblivém lešení,4.00
pevněnou radlici,4.00
narýpává zeminu,4.00
místa uloženi,4.00
hospodár hospodárrozvozu,4.00
nádoba otevře,4.00
dale daleje,4.00
větši většizastaralé,4.00
posledních letech,4.00
zřizování vozovek,4.00
mirně zavlhlé,4.00
těžko říci,4.00
jiným podmínkám,4.00
tužší' směsi,4.00
teku tekusměsmi,4.00
většině stavenišť,4.00
určitých opatřeni,4.00
dotakové přesnosti,4.00
důkladnějšího bednění,4.00
třikráte těžší,4.00
proúčelného míchání,4.00
účelem míchačku,4.00
dvojitým bubnem,4.00
nejdůležitějších problémů,4.00
wielandových vložek,4.00
ocelové vložky,4.00
obtíží vyjmout,4.00
řádnou přípravu,4.00
hospodářskými důsledky,4.00
rozhodný činitel,4.00
popráci nezaměstnaným,4.00
podnikatelům zapůjčovalo,4.00
dokončeni prací,4.00
výsledku soutěže,4.00
polní dráhy,4.00
dostatečném počtu,4.00
majetku firem,4.00
přiměře přiměřepočtu,4.00
firma opatři,4.00
jiných pracích,4.00
vyzněl příznivě,4.00
bohužel nesnáze,4.00
ojedinělé zastaralé,4.00
vzoru německém,4.00
jaký nastal,4.00
průměrném rozsahu,4.00
amorti amortijak,4.00
největšího výkonu,4.00
dobrého výsledku,4.00
oba způsoby,4.00
principu dusacím,4.00
vysrovnávací kladinou,4.00
dusaci kladinou,4.00
vibračním srovnavačem,4.00
řady kladiv,4.00
nuceným mícháním,4.00
systému kaiser,4.00
systému dingler,4.00
spodní vrstvu,4.00
horní vrstvu,4.00
sy sysonnthofen,4.00
samostat samostatrozdělovačem,4.00
oprávněno dáti,4.00
zlevněním postupu,4.00
několik administrativních,4.00
finančních dat,4.00
skutečné nezbytnosti,4.00
pečlivě uvažováno,4.00
nemalá pozornost,4.00
vlastni režii,4.00
veřejnou soutěži,4.00
dílech čtyř-,4.00
zadávány samostatně,4.00
hospodářském životě,4.00
zadáváni staveb,4.00
pracovního procesu,4.00
výši mezd,4.00
jejichž výše,4.00
řádný podnikatel,4.00
vývinu mezd,4.00
pojdou nahoru,4.00
netakové risiko,4.00
penězích odhadnout,4.00
fantastických číslic,4.00
přiměřenosti vedla,4.00
jejichž výši,4.00
stavebník vzal,4.00
vzniká nevýhoda,4.00
znovu propočítávat,4.00
zdarem přizpůsobí,4.00
stoupající potřebě,4.00
takovým ztrátám,4.00
zlevněni nabidky,4.00
nenutí počítat,4.00
zvýšeni mezd,4.00
přináší mu,4.00
nezbyt nezbytpodkladem,4.00
těm podnikatelům,4.00
dosti silni,4.00
mohli riskovat,4.00
eventuelní risiko,4.00
eventuálních průtahů,4.00
vzájemné důvěře,4.00
upřímnou vidi,4.00
postranních úmyslů,4.00
druhého těžit,4.00
pevný základ,4.00
prospěch všech,4.00
stránce vše,4.00
zvláštní povaha,4.00
těžiště dozoru,4.00
prov r,4.00
zdrženo událostmi,4.00
odhad výdajů,4.00
dnešních mezd,4.00
místních zdrojů,4.00
nuceny otevřití,4.00
přicházeli stále,4.00
celých výprav,4.00
prohlédli postupně,4.00
odstraněna krompáči,4.00
zeným jedincům,4.00
oprávněný předpoklad,4.00
vážná obava,4.00
jich plně,4.00
dalších dílech,4.00
letošním období,4.00
hlavní příčinu,4.00
těchto okresu,4.00
díl 6/2,4.00
svém okrese,4.00
dělník vydělal,4.00
svém kraji,4.00
cbernachtungs- geld,4.00
vlastním kraji,4.00
zaplacení noclehu,4.00
blízkého okolí,4.00
svého domova,4.00
táborových ubikacích,4.00
zřizování táborů,4.00
prostě prostěpřikrývek,4.00
uzamykatelných skřínek,4.00
baráky zařízeny,4.00
zimní ubytování,4.00
dvojité stěny,4.00
podsami zřídili,4.00
sprchové lázně,4.00
levné stravování,4.00
obytných místnostech,4.00
učiněna zmínka,4.00
zřízených kolísá,4.00
sami obdělati,4.00
věru škoda,4.00
jaroslav payer,4.00
veřejných prací,4.00
obsahem nejrozsáhlejší,4.00
prostavby samé,4.00
podstatně vyvlastňovací,4.00
vyvlast vyvlastnemovitostí,4.00
formě snímku,4.00
pozemnostním archu,4.00
bydliště vlastníka,4.00
katastrální výměru,4.00
vyvlastňovaných pozemcích,4.00
schválených projektů,4.00
vysokém napětí,4.00
právních zúčastni,4.00
podálnicí zabraných,4.00
právní bezpečnost,4.00
nabytým nemovitostem,4.00
pře přese,4.00
podkarpatskou rusí,4.00
druhý nákladnější,4.00
veškerá činnost,4.00
rozvoj motorismu,4.00
hospodářští odborníci,4.00
silniční fond,4.00
motoro motorovozidel,4.00
minerálních olejů,4.00
dovážených pneumatik,4.00
různé poplatky,4.00
úkor motoristů,4.00
nábylo jasno,4.00
reichsauto- bahněn,4.00
předi tiskem,4.00
umožnila rychlé,4.00
vyžadovalo trasu,4.00
regionalistickém ústředí,4.00
složená vesměs,4.00
členu sia,4.00
význam strategický,4.00
vhod vhodmíst,4.00
situačního zaměřeni,4.00
vyvýkupních plánů,4.00
poz pozvýkon,4.00
vhodně volených,4.00
požulových mezníků,4.00
vrcholových úhlů,4.00
definitivně zaměří,4.00
knihy pozemkové,4.00
pozemnostních archů,4.00
seznamy služebnosti,4.00
pozemkovém vlastnictví,4.00
vypracuje žádost,4.00
provedeni knihovního,4.00
jejím příslušenstvím,4.00
topografické mapy,4.00
katastrál katastráloperátech,4.00
nenezajímavé zmínili,4.00
nivelace podélného,4.00
alois eliáš,4.00
zdeněk sehxvarz,4.00
problémy nezamestnanosti,4.00
jed jedtahu,4.00
užhorod —mukačevo—chust,4.00
uskutečněno přímé,4.00
shodně žádají,4.00
dlouhou dobu,4.00
cizině osvědčovala,4.00
dvou letech,4.00
většího pochopení,4.00
vládním usnesením,4.00
budované státem,4.00
maďarsku zůstala,4.00
řekou moravou,4.00
stu stua,4.00
mnoho změn,4.00
ostatních článcích,4.00
hradec králové,4.00
můžeme říci,4.00
srdce přejeme,4.00
velký bočkov,4.00
navrhované dr,4.00
jejž dr,4.00
baťovi záleželo,4.00
obtíži schválen,4.00
podkarpatskou rus,4.00
černé moře,4.00
caři- hrad,4.00
naše silniční,3.92
naše vlast,3.92
naše ůzemi,3.92
změnou poměrů,3.90
míst vhodných,3.90
památkových míst,3.90
místních poměrů,3.90
různých oblasti,3.90
míst místskladiště,3.90
středu míst,3.90
dozájmové oblasti,3.90
větších míst,3.90
rekreačních míst,3.90
daných poměrů,3.90
dnešních poměrů,3.90
vědeckými ústavy,3.89
uvedenými ústavy,3.89
dalšími ústavy,3.89
různými ústavy,3.89
příslušnými ústavy,3.89
vědecké ústavy,3.89
vedeni pupinisovaných,3.89
dálková vedeni,3.89
jedno vedeni,3.89
vedeni směrem,3.89
dopravu silniční,3.88
transitní dopravu,3.88
animálni dopravu,3.88
severně měřina,3.88
severně brankovic,3.88
severně otrokovic,3.88
severně štok,3.88
severně radostina,3.88
severně bačic,3.88
kdežto severně,3.88
výkonných silnic,3.88
jiných silnic,3.88
okresních silnic,3.88
dálkovou dopravu,3.88
zlepšování silnic,3.88
zemi slovenské,3.86
zemi českou,3.86
zemi české,3.86
české země,3.86
jižních zemi,3.86
poje též,3.86
podonuti též,3.86
začal též,3.86
našich zemi,3.86
pražský okruh,3.85
okruh nepřekážel,3.85
zřízen okruh,3.85
masarykův okruh,3.85
zřízení stanic,3.85
stanic autobusových,3.85
telefonních stanic,3.85
následujících stanic,3.85
spojením stanic,3.85
velkých stanic,3.85
blízkých stanic,3.85
služební misto,3.83
jedna služební,3.83
služební místnosti,3.83
silniční materiál,3.83
přímo spojených,3.83
kladeném přímo,3.83
uloženými přímo,3.83
rozpojený materiál,3.83
odváži materiál,3.83
slovenská vláda,3.80
tvaru území,3.80
poměry plavební,3.80
česko-slovenská vláda,3.80
kolem města,3.80
středu města,3.80
založena většinou,3.80
žádala vláda,3.80
vodní poměry,3.80
rozeklaností území,3.80
opatřeny normálie,3.80
připravené normálie,3.80
dlouhé většinou,3.80
mimořádné poměry,3.80
míst míst,3.80
zastavováni autobusů,3.80
délku autobusů,3.80
umisťovány většinou,3.80
cestujicí autobusů,3.80
uvažujeme-li poměry,3.80
zřizováni vozovek,3.80
soupravu pracující,3.80
souprava pracující,3.80
území zřizované,3.80
tehdejší vláda,3.80
naše země,3.78
vedení trasy,3.78
stavební správy,3.78
úřední trasy,3.78
studiích trasy,3.78
ose trasy,3.78
změnu trasy,3.78
vyhledáváni trasy,3.78
skupinu stavební,3.78
stavební program,3.78
stavební kanceláře,3.78
spěje doprava,3.78
tvoři doprava,3.78
navšechny dálnice,3.76
dálnice probíhat,3.76
průchozí dálnice,3.76
dálnice spojovaly,3.76
tělesa dálnice,3.76
trasu dálnice,3.76
vytrasa dálnice,3.76
vystavby dálnice,3.76
niveletě dálnice,3.76
trase dálnice,3.76
postaveni dálnice,3.76
těleso dálnice,3.76
trasou dálnice,3.76
ruchu dálnice,3.76
udržováni dálnice,3.76
oblast dálnice,3.76
typu dálnice,3.76
tělese dálnice,3.76
objekt dálnice,3.76
prochází dálnice,3.76
rozšiřováni dálnice,3.76
dálnice prochází,3.76
vybudujeme-li dálnice,3.76
má dosud,3.75
jít buď,3.75
požadavek nejen,3.75
návrhu žádá,3.75
pražskému návrhu,3.75
prvé řadě,3.75
pražského okruhu,3.75
údolí váhu,3.75
vozovka čtyřproudová,3.75
dosaženo dohody,3.75
největším urychlením,3.75
ládní nařízení,3.75
vládního nařízení,3.75
odboru plk,3.75
údolí sázavy,3.75
větší vzdálenosti,3.75
úředního návrhu,3.75
veškerá údolí,3.75
návrhu podány,3.75
trasu severní,3.75
vyjádřil velmi,3.75
důležitých událostech,3.75
pražském okruhu,3.75
dosud zvykli,3.75
silničních pracích,3.75
úkol postarali,3.75
důležitých fázích,3.75
dosud nejdále,3.75
silničních projektech,3.75
takovém náspu,3.75
údolí šmejkalky,3.75
podloží náspu,3.75
údolí drhlovského,3.75
údolí sedlického,3.75
technicky správné,3.75
ostatní evropou,3.75
úkol budovali,3.75
jest umístěn,3.75
